id,sex,repro,readsite,night,month,year,first_time,time_spent_action,mean_time_bout,sd_time_bout,n,,07:00 p. m.,06:00 a. m.
*989001005064903,female,pregnant,carmen,22/04/2016,Apr,2016,21H 2M 4S,roosting,34053.6,64196.94192,5,,,
*989001005527029,female,non,carmen,24/04/2016,Apr,2016,19H 58M 37S,roosting,34044,39947.2905,2,,,
*989001003024653,female,lactating,carmen,02/06/2015,Jun,2015,19H 54M 58S,foraging,30274,NA,1,,,
*989001005064930,female,pregnant,carmen,17/04/2016,Apr,2016,20H 20M 35S,roosting,33641,39808.69757,2,,,
*989001003024654,female,lactating,carmen,22/05/2015,May,2015,20H 20M 8S,foraging,13321.5,17097.13486,2,,,
*989001005064949,female,pregnant,carmen,25/04/2016,Apr,2016,20H 5M 29S,roosting,33117.5,39765.56405,2,,,
*989001003024654,female,lactating,carmen,23/05/2015,May,2015,20H 37M 48S,foraging,36,NA,1,,,
*989001003024713,female,lactating,carmen,24/05/2015,May,2015,19H 51M 58S,roosting,32975.6,59922.81227,5,,,
*989001003024654,female,lactating,carmen,24/05/2015,May,2015,20H 0M 30S,foraging,27460,NA,1,,,
*989001005527081,female,pregnant,carmen,25/04/2016,Apr,2016,19H 34M 38S,roosting,32857.5,46258.21852,2,,,
*989001003024654,female,lactating,carmen,25/05/2015,May,2015,20H 17M 49S,foraging,27168,NA,1,,,
*989001005064969,female,pregnant,carmen,22/04/2016,Apr,2016,19H 57M 33S,roosting,32692.8,61888.59644,5,,,
*989001003024654,female,lactating,carmen,26/05/2015,May,2015,20H 8M 18S,foraging,13540.5,15489.17404,2,,,
*989001005527050,female,pregnant,carmen,22/04/2016,Apr,2016,20H 3M 20S,roosting,32623.4,63526.24905,5,,,
*989001003024654,female,lactating,carmen,27/05/2015,May,2015,20H 14M 45S,foraging,28529,NA,1,,,
*989001003024712,female,lactating,carmen,24/05/2015,May,2015,21H 23M 4S,roosting,32361.5,43479.28887,2,,,
*989001003024654,female,lactating,carmen,29/05/2015,May,2015,20H 54M 56S,foraging,45,NA,1,,,
*989001005064909,female,pregnant,carmen,14/04/2016,Apr,2016,20H 36M 35S,roosting,32288.5,44374.48605,2,,,
*989001003024654,female,lactating,carmen,30/05/2015,May,2015,21H 33M 18S,foraging,24292,NA,1,,,
*989001003024703,female,non,carmen,28/05/2015,May,2015,20H 7M 18S,roosting,32233,35979.00724,2,,,
*989001003024654,female,lactating,carmen,31/05/2015,May,2015,20H 42M 43S,foraging,33,NA,1,,,
*989001003024703,female,non,carmen,26/05/2015,May,2015,20H 5M 5S,roosting,31906.5,37234.12178,2,,,
*989001005064968,female,pregnant,carmen,16/04/2016,Apr,2016,21H 2M 28S,roosting,31896.2,65482.05176,5,,,
*989001003024654,female,lactating,carmen,02/06/2015,Jun,2015,20H 6M 49S,foraging,28880,NA,1,,,
*989001005527044,female,non,carmen,15/04/2016,Apr,2016,20H 1M 54S,roosting,31791.6,65462.22335,5,,,
*989001003024655,female,lactating,carmen,22/05/2015,May,2015,20H 0M 39S,foraging,13108.5,17870.70968,2,,,
*989001005527118,female,non,carmen,16/04/2016,Apr,2016,19H 27M 39S,roosting,31774.6,63059.54058,5,,,
*989001003024655,female,lactating,carmen,23/05/2015,May,2015,20H 5M 34S,foraging,26907,NA,1,,,
*989001003024705,female,lactating,carmen,28/05/2015,May,2015,19H 54M 12S,roosting,31697,36901.07448,2,,,
*989001003024655,female,lactating,carmen,24/05/2015,May,2015,19H 56M 35S,foraging,27136,NA,1,,,
*989001005527092,female,non,carmen,25/04/2016,Apr,2016,19H 58M 15S,roosting,31550.5,33465.24263,2,,,
*989001003024655,female,lactating,carmen,25/05/2015,May,2015,19H 53M 46S,foraging,38,NA,1,,,
*989001005064986,female,pregnant,carmen,23/04/2016,Apr,2016,19H 56M 34S,roosting,31439,43386.65788,2,,,
*989001003024655,female,lactating,carmen,26/05/2015,May,2015,19H 49M 57S,foraging,9042,15576.3618,3,,,
*989001003024679,female,non,carmen,29/05/2015,May,2015,19H 56M 0S,roosting,31299,35116.33697,2,,,
*989001003024655,female,lactating,carmen,27/05/2015,May,2015,19H 55M 59S,foraging,27896,NA,1,,,
*989001005527029,female,non,carmen,18/04/2016,Apr,2016,19H 57M 6S,roosting,31284.6,62643.44787,5,,,
*989001003024655,female,lactating,carmen,28/05/2015,May,2015,19H 49M 50S,foraging,14503.5,20327.19864,2,,,
*989001006710102,female,lactating,carmen,01/06/2017,May,2017,20H 43M 11S,roosting,31115.5,40037.09306,2,,,
*989001003024655,female,lactating,carmen,29/05/2015,May,2015,19H 51M 4S,foraging,14853.5,19618.67764,2,,,
*989001005527118,female,non,carmen,17/04/2016,Apr,2016,19H 28M 44S,roosting,31038.5,31690.40461,2,,,
*989001003024655,female,lactating,carmen,30/05/2015,May,2015,20H 2M 50S,foraging,29694,NA,1,,,
*989001003024703,female,non,carmen,29/05/2015,May,2015,19H 56M 32S,roosting,31001,35544.84368,2,,,
*989001003024655,female,lactating,carmen,31/05/2015,May,2015,19H 56M 34S,foraging,30181,NA,1,,,
*989001005064946,female,non,carmen,22/04/2016,Apr,2016,20H 8M 1S,roosting,30841.2,61499.01349,5,,,
*989001003024655,female,lactating,carmen,01/06/2015,May,2015,19H 53M 31S,foraging,1315.5,1799.586758,2,,,
*989001003024614,female,non,carmen,29/05/2015,May,2015,19H 55M 18S,roosting,30539,38931.88516,2,,,
*989001003024655,female,lactating,carmen,02/06/2015,Jun,2015,19H 55M 10S,foraging,30575,NA,1,,,
*989001005064969,female,pregnant,carmen,17/04/2016,Apr,2016,21H 21M 38S,roosting,30534.6,63702.30427,5,,,
*989001003024657,female,lactating,carmen,22/05/2015,May,2015,19H 56M 8S,foraging,7614,8856.803148,4,,,
*989001003024697,female,lactating,carmen,25/05/2015,May,2015,19H 57M 0S,roosting,30465,41821.12347,2,,,
*989001003024657,female,lactating,carmen,23/05/2015,May,2015,19H 55M 32S,foraging,7162.75,9767.800413,4,,,
*989001003024527,female,lactating,carmen,30/05/2015,May,2015,19H 58M 41S,roosting,30463.5,38310.3383,2,,,
*989001003024657,female,lactating,carmen,24/05/2015,May,2015,19H 46M 56S,foraging,3605.625,3747.582151,8,,,
*989001003024654,female,lactating,carmen,22/05/2015,May,2015,20H 20M 8S,roosting,30349,42313.26979,2,,,
*989001003024657,female,lactating,carmen,25/05/2015,May,2015,19H 50M 40S,foraging,14398,3436.538957,2,,,
*989001003024703,female,non,carmen,30/05/2015,May,2015,20H 2M 7S,roosting,30159.5,35575.24927,2,,,
*989001003024657,female,lactating,carmen,26/05/2015,May,2015,19H 46M 50S,foraging,300.25,291.6211869,4,,,
*989001003024543,female,lactating,carmen,26/05/2015,May,2015,19H 56M 6S,roosting,30150,41944.16005,2,,,
*989001003024657,female,lactating,carmen,27/05/2015,May,2015,19H 50M 15S,foraging,14088.5,13736.96344,2,,,
*989001005527075,female,non,carmen,20/04/2016,Apr,2016,20H 45M 23S,roosting,30149.5,42329.53324,2,,,
*989001003024657,female,lactating,carmen,28/05/2015,May,2015,19H 47M 47S,foraging,1482.625,3766.353991,16,,,
*989001005064945,female,pregnant,carmen,21/04/2016,Apr,2016,20H 35M 46S,roosting,30143.5,38314.58094,2,,,
*989001003024657,female,lactating,carmen,29/05/2015,May,2015,19H 49M 44S,foraging,199,NA,1,,,
*989001003024679,female,non,carmen,27/05/2015,May,2015,19H 52M 56S,roosting,30142.5,35940.11637,2,,,
*989001003024657,female,lactating,carmen,30/05/2015,May,2015,19H 51M 2S,foraging,256,NA,1,,,
*989001003024679,female,non,carmen,01/06/2015,May,2015,19H 43M 20S,roosting,30082.5,33801.82546,2,,,
*989001003024657,female,lactating,carmen,31/05/2015,May,2015,19H 56M 57S,foraging,29916,NA,1,,,
*989001005064989,female,pregnant,carmen,17/04/2016,Apr,2016,20H 25M 25S,roosting,30051,38349.22917,2,,,
